ID,Module,API_Endpoint,Tên_Test_Case,Input_Đầu_vào,Expected_Status,Expected_DB_State,Mức_độ_ưu_tiên
178,Event,GET /api/v1/events/my-events,Lấy danh sách các sự kiện đã đăng ký tham gia,"Token User",200 OK,"Không thay đổi",Medium
179,Mentorship,GET /api/v1/mentorship/my-mentees,Lấy danh sách mentee của Mentor,"Token Mentor",200 OK,"Không thay đổi",Medium
180,Mentorship,GET /api/v1/mentorship/my-mentees,Lấy danh sách mentee thất bại do không phải Mentor,"Token User thường",403 Forbidden,"Không thay đổi",Medium
181,Mentorship,POST /api/v1/mentorship/sessions/{id}/complete,Đánh dấu hoàn thành Mentorship Session,"id session, Token Mentor",200 OK,"Cập nhật status session=COMPLETED",Medium
182,Forum,PUT /api/v1/forum/posts/{id},Sửa nội dung bài viết diễn đàn (Chính chủ),"id hợp lệ, content mới, Token User",200 OK,"Cập nhật bản ghi forum_posts",Medium
183,Forum,PUT /api/v1/forum/posts/{id},Sửa bài viết thất bại do quá hạn (ví dụ: cấm sửa sau 24h),"Bài đăng quá lâu",400 Bad Request,"Không thay đổi",Low
184,Admin,POST /api/v1/admin/email-templates,Tạo template Email mới (Admin),"Token Admin, Payload template",201 Created,"Tạo bản ghi email_templates",Medium
185,Admin,POST /api/v1/admin/broadcast,Gửi thông báo/email hàng loạt (Broadcast),"Token Admin, Payload nội dung",200 OK,"Đẩy job vào hàng đợi gửi mail",Medium
186,Admin,POST /api/v1/admin/broadcast,Gửi broadcast thất bại do không có quyền,"Token User thường",403 Forbidden,"Không thay đổi",High
187,Config,GET /api/v1/config/banks,Lấy danh sách ngân hàng cấu hình sẵn,"Không cần token",200 OK,"Không thay đổi",Low
188,Config,GET /api/v1/config/ai-providers,Lấy cấu hình AI Providers,"Token Admin",200 OK,"Không thay đổi",Low
189,Chat,POST /api/v1/chat/block,Chặn thất bại do cố chặn Admin,"id của Admin",400 Bad Request,"Không thay đổi",Low
190,Chat,DELETE /api/v1/chat/block/{id},Bỏ chặn (Unblock) thành công,"id hợp lệ",200 OK,"Xóa bản ghi user_blocks",Medium
191,Forum,POST /api/v1/forum/posts/{id}/report,Báo cáo (Report) bài viết vi phạm,"id bài, lý do vi phạm",200 OK,"Tạo bản ghi post_reports",Medium
192,Forum,POST /api/v1/forum/posts/{id}/report,Báo cáo thất bại do spam (báo cáo quá nhiều lần 1 bài),"Lý do lặp lại",409 Conflict,"Không thay đổi",Low
193,Admin,GET /api/v1/admin/reports,Lấy danh sách các báo cáo vi phạm,"Token Admin",200 OK,"Không thay đổi",Medium
194,Admin,PUT /api/v1/admin/reports/{id}/resolve,Xử lý báo cáo vi phạm (Đóng report),"id report, Token Admin",200 OK,"Cập nhật status report=RESOLVED",Medium
195,Event,GET /api/v1/events/{id}/attendees,Lấy danh sách người tham gia sự kiện (Admin/Creator),"id event, Token Admin",200 OK,"Không thay đổi",Medium
196,Event,GET /api/v1/events/{id}/attendees,Lấy danh sách người tham gia thất bại do sự kiện riêng tư,"Token User ngoài",403 Forbidden,"Không thay đổi",Low
197,Survey,PUT /api/v1/surveys/{id}/close,Đóng bài khảo sát thủ công (Admin),"id survey, Token Admin",200 OK,"Cập nhật status=CLOSED",Medium
198,User,DELETE /api/v1/users/me/education/{id},Xóa lịch sử học vấn của bản thân,"id hợp lệ",200 OK,"Xóa bản ghi education_histories",Medium
199,User,DELETE /api/v1/users/me/education/{id},Xóa học vấn thất bại do id của người khác,"id học vấn của User B",403 Forbidden,"Không thay đổi",High
200,Auth,GET /api/v1/auth/me/roles,Kiểm tra quyền hạn hiện tại (Role Check),"Token User",200 OK,"Không thay đổi",Medium
201,Mentorship,POST /api/v1/mentorship/sessions/{id}/rating,Đánh giá Mentor sau khi hoàn thành session,"id session, rating 1-5, review text",200 OK,"Tạo bản ghi mentorship_ratings",High
202,Mentorship,POST /api/v1/mentorship/sessions/{id}/rating,Đánh giá thất bại do session chưa hoàn thành,"session status=PENDING",400 Bad Request,"Không thay đổi",Medium
203,Mentorship,PUT /api/v1/mentorship/skills,Mentor cập nhật danh sách kỹ năng chuyên môn,"Danh sách skill_ids",200 OK,"Xóa skill cũ, tạo skill mới trong mentor_skills",Medium
204,Mentorship,GET /api/v1/mentorship/schedule,Xem lịch hẹn cố vấn sắp tới,"Token Mentor/Mentee",200 OK,"Không thay đổi",Medium
205,Mentorship,DELETE /api/v1/mentorship/requests/{id},Hủy yêu cầu Mentor trước khi được duyệt,"id request, Token Mentee",200 OK,"Xóa bản ghi mentorship_requests",Medium
206,Mentorship,DELETE /api/v1/mentorship/requests/{id},Hủy yêu cầu thất bại do Mentor đã duyệt,"request status=ACCEPTED",400 Bad Request,"Không thay đổi",Medium
207,Mentorship,GET /api/v1/mentors/{id}/reviews,Xem các đánh giá công khai của Mentor,"id mentor hợp lệ",200 OK,"Không thay đổi",Medium
208,Mentorship,PUT /api/v1/admin/mentorship-cvs/{id}/approve,Duyệt CV làm Mentor (Admin),"id CV, Token Admin",200 OK,"Cập nhật CV status=APPROVED, User role=MENTOR",High
209,Mentorship,PUT /api/v1/admin/mentorship-cvs/{id}/reject,Từ chối CV làm Mentor (Admin),"id CV, Token Admin",200 OK,"Cập nhật CV status=REJECTED",High
210,Mentorship,PUT /api/v1/mentorship/status,Bật/Tắt trạng thái nhận Mentee của Mentor,"is_accepting=false",200 OK,"Cập nhật is_accepting trong bảng mentors",Medium
211,Fundraising,PUT /api/v1/funds/{id}/close,Đóng quỹ (ngừng nhận quyên góp) thủ công,"id fund, Token Admin",200 OK,"Cập nhật status=CLOSED",High
212,Fundraising,PUT /api/v1/funds/{id}/close,Đóng quỹ tự động do hết hạn (Job/Test),"Mock thời gian vượt qua end_date",200 OK,"Cập nhật status=CLOSED tự động",Medium
213,Fundraising,POST /api/v1/funds/{id}/withdraw,Rút tiền khỏi quỹ (Tạo phiếu chi),"id fund, số tiền, Token Admin",201 Created,"Tạo bản ghi fund_withdrawals",High
214,Fundraising,POST /api/v1/funds/{id}/withdraw,Rút tiền thất bại do vượt quá số dư quỹ,"số tiền > current_amount",400 Bad Request,"Không thay đổi",High
215,Fundraising,POST /api/v1/funds/{id}/withdraw,Rút tiền thất bại do quỹ chưa đóng,"fund status=ACTIVE",400 Bad Request,"Không thay đổi",Medium
216,Fundraising,GET /api/v1/funds/{id}/withdrawals,Xem danh sách phiếu chi của một quỹ,"id fund",200 OK,"Không thay đổi",Medium
217,Fundraising,POST /api/v1/funds/donations/{id}/refund,Hoàn tiền quyên góp (Admin thao tác ngoại lệ),"id donation, Token Admin",200 OK,"Cập nhật donation status=REFUNDED, trừ điểm User",Low
218,Fundraising,GET /api/v1/funds/leaderboard,Lấy bảng xếp hạng quyên góp (Top Donors),"limit=10",200 OK,"Không thay đổi",Medium
219,Fundraising,GET /api/v1/funds/leaderboard,Bảng xếp hạng ẩn các donation ở chế độ ẩn danh (Anonymous),"is_anonymous=true",200 OK,"Trả về Tên Ẩn Danh thay vì Tên Thật",High
220,Fundraising,POST /api/v1/funds/webhook/sepay,Xử lý Webhook với số tiền âm (Lỗi hệ thống ngân hàng),"amount = -50000",400 Bad Request,"Không thay đổi",Low
221,Survey,PUT /api/v1/surveys/{id},Chỉnh sửa cấu trúc bài khảo sát,"id survey, payload mới",200 OK,"Cập nhật surveys và survey_questions",Medium
222,Survey,PUT /api/v1/surveys/{id},Chỉnh sửa thất bại do đã có người nộp bài,"survey đã có responses",409 Conflict,"Không thay đổi",High
223,Survey,DELETE /api/v1/surveys/{id},Xóa bài khảo sát thành công,"id survey, Token Admin",200 OK,"Xóa bản ghi surveys và cascade questions",Medium
224,Survey,GET /api/v1/surveys/{id}/export,Xuất kết quả khảo sát ra CSV/Excel,"id survey, Token Admin",200 OK,"Trả về file stream",Medium
225,Survey,GET /api/v1/surveys/my-responses,Xem danh sách các khảo sát bản thân đã tham gia,"Token User",200 OK,"Không thay đổi",Medium
226,Survey,PUT /api/v1/surveys/{id}/responses,Sửa câu trả lời khảo sát đã nộp,"id survey, Token User, allow_edit=true",200 OK,"Cập nhật nội dung trong survey_responses",Low
227,Survey,PUT /api/v1/surveys/{id}/responses,Sửa câu trả lời thất bại do survey không cho sửa,"allow_edit=false",403 Forbidden,"Không thay đổi",Medium
228,Survey,POST /api/v1/surveys,Tạo khảo sát thất bại do ngày kết thúc trước ngày mở,"end_time < start_time",400 Bad Request,"Không thay đổi",Medium
229,Organization,PUT /api/v1/organizations/{id},Cập nhật thông tin tổ chức/hội nhóm,"id org, Token Admin",200 OK,"Cập nhật bản ghi organizations",Medium
230,Organization,DELETE /api/v1/organizations/{id}/members/{userId},Khai trừ thành viên khỏi tổ chức,"id org, userId, Token Admin",200 OK,"Xóa bản ghi organization_members",High
231,Organization,PUT /api/v1/organizations/{id}/roles,Thăng cấp thành viên lên làm Phó Hội Trưởng,"id org, userId, role=MODERATOR, Token Admin",200 OK,"Cập nhật role trong organization_members",Medium
232,Organization,GET /api/v1/organizations/{id}/members,Lấy danh sách thành viên của một tổ chức,"id org",200 OK,"Không thay đổi",High
233,Organization,POST /api/v1/organizations/{id}/events,Tạo sự kiện thuộc sở hữu của tổ chức,"id org, Token Admin của Org",201 Created,"Tạo event gắn với organization_id",Medium
234,Organization,POST /api/v1/organizations/{id}/events,Tạo sự kiện thất bại do không phải Admin tổ chức,"Token thành viên thường",403 Forbidden,"Không thay đổi",High
235,Config,PUT /api/v1/admin/ai-providers/{id},Bật/Tắt một AI Provider (ví dụ tắt OpenAI, bật Gemini),"id provider, is_active=false",200 OK,"Cập nhật ai_providers",Medium
236,Config,POST /api/v1/admin/ai-models,Thêm Model AI mới vào hệ thống,"provider_id, model_name, api_key",201 Created,"Tạo bản ghi trong ai_models",High
237,Config,PUT /api/v1/admin/ai-models/{id}/default,Đặt một Model làm mặc định cho hệ thống,"id model, Token Admin",200 OK,"Cập nhật priority hoặc cờ is_default",Medium
238,Config,DELETE /api/v1/admin/ai-models/{id},Xóa một Model AI khỏi hệ thống,"id model",200 OK,"Xóa bản ghi ai_models",Low
239,Forum,POST /api/v1/forum/categories,Tạo chuyên mục diễn đàn mới (Category),"Token Admin, name hợp lệ",201 Created,"Tạo bản ghi forum_categories",Medium
240,Forum,PUT /api/v1/forum/categories/{id},Đổi tên chuyên mục diễn đàn,"id category, name mới",200 OK,"Cập nhật forum_categories",Low
241,Forum,DELETE /api/v1/forum/categories/{id},Xóa chuyên mục diễn đàn thất bại do còn bài viết,"category đang có bài viết",409 Conflict,"Không thay đổi",High
242,Chat,POST /api/v1/chat/conversations/group,Tạo nhóm chat (Group Chat) thành công,"Danh sách user_ids, tên group",201 Created,"Tạo bản ghi chat_conversations (type=GROUP)",Medium
243,Chat,POST /api/v1/chat/conversations/group/{id}/leave,Rời khỏi nhóm chat,"id conversation, Token User",200 OK,"Xóa User khỏi conversation_participants",Medium
244,Chat,PUT /api/v1/chat/conversations/group/{id}/add,Thêm thành viên mới vào nhóm chat,"id conversation, user_id mới",200 OK,"Tạo thêm record conversation_participants",Medium
245,User,GET /api/v1/users/search,Tìm kiếm User toàn hệ thống theo tên/email,"keyword=""Nguyen""",200 OK,"Không thay đổi",High
246,User,GET /api/v1/users/search,Tìm kiếm User thất bại do từ khóa quá ngắn,"keyword=""A""",400 Bad Request,"Không thay đổi",Low
247,Event,GET /api/v1/events/upcoming,Lấy danh sách các sự kiện sắp diễn ra,"Không cần tham số",200 OK,"Không thay đổi",High
248,Article,GET /api/v1/news/trending,Lấy danh sách tin tức nổi bật (nhiều view/like),"Không cần tham số",200 OK,"Không thay đổi",Medium
249,Article,POST /api/v1/jobs/{id}/apply,Ứng tuyển vào một công việc (Nộp CV),"id job, file CV",201 Created,"Tạo bản ghi job_applications",High
250,Article,GET /api/v1/jobs/{id}/applications,Nhà tuyển dụng xem danh sách ứng viên,"id job, Token Admin/Creator",200 OK,"Không thay đổi",Medium
251,Shared,GET /api/v1/notifications,Lấy danh sách thông báo của bản thân,"page=0, size=10",200 OK,"Không thay đổi",High
252,Shared,PUT /api/v1/notifications/{id}/read,Đánh dấu một thông báo là đã đọc,"id notification",200 OK,"Cập nhật is_read=true",High
253,Shared,PUT /api/v1/notifications/read-all,Đánh dấu tất cả thông báo là đã đọc,"Token User",200 OK,"Cập nhật toàn bộ is_read=true của User",Medium
254,Shared,GET /api/v1/sse/notifications,Kết nối SSE (Server-Sent Events) nhận thông báo realtime,"Token User qua query param",200 OK (Stream),"Mở kết nối stream",High
255,Shared,GET /api/v1/sse/notifications,Kết nối SSE thất bại do token sai,"Token không hợp lệ",401 Unauthorized,"Không mở kết nối",High
256,Event,POST /api/v1/events/{id}/check-in,Điểm danh sự kiện (Check-in) bằng QR Code,"Mã QR hợp lệ (có mã hóa ID user và Event)",200 OK,"Cập nhật checked_in=true trong event_attendees",High
257,Event,POST /api/v1/events/{id}/check-in,Điểm danh thất bại do mã QR giả mạo,"Mã QR sai chữ ký/hết hạn",400 Bad Request,"Không thay đổi",High
258,Event,POST /api/v1/events/{id}/check-in,Điểm danh thất bại do User chưa đăng ký tham gia,"User scan QR nhưng chưa join",403 Forbidden,"Không thay đổi",Medium
259,Event,GET /api/v1/events/{id}/check-in/stats,Xem thống kê điểm danh sự kiện (Bao nhiêu đi/Bao nhiêu vắng),"id event, Token Admin",200 OK,"Không thay đổi",Medium
260,Forum,POST /api/v1/forum/posts/ai-tag,Tự động gắn thẻ (AI Tagging) bài viết bằng Gemini,"Nội dung bài viết",200 OK,"Tạo record trong forum_post_tags",High
261,Forum,POST /api/v1/forum/posts/ai-tag,AI Tagging thất bại do Gemini trả về lỗi (Timeout/Rate Limit),"Mô phỏng Gemini API tịt ngòi",503 Service Unavailable,"Không thay đổi",Medium
262,Forum,POST /api/v1/forum/posts/{id}/ai-summarize,Dùng AI tóm tắt bình luận trong bài viết,"id bài viết",200 OK,"Không thay đổi DB, trả về đoạn text tóm tắt",Low
263,Organization,POST /api/v1/organizations/{id}/funds,Tạo quỹ riêng cho khoa/hội nhóm (Organization Fund),"id org, Token Admin của Org",201 Created,"Tạo bản ghi trong funds gắn với organization_id",Medium
264,Organization,GET /api/v1/organizations/{id}/funds,Lấy danh sách các quỹ trực thuộc tổ chức,"id org",200 OK,"Không thay đổi",Medium
265,Mentorship,POST /api/v1/mentorship/requests/{id}/reschedule,Yêu cầu dời lịch hẹn Mentorship,"id request, new_time",200 OK,"Cập nhật thời gian mới, status=RESCHEDULED",Medium
266,Mentorship,POST /api/v1/mentorship/requests/{id}/reschedule,Dời lịch thất bại do quá gần sát giờ hẹn,"new_time < 24h",400 Bad Request,"Không thay đổi",Low
267,Mentorship,GET /api/v1/mentorship/stats,Lấy thống kê cá nhân (Số giờ cố vấn, Điểm đánh giá trung bình),"Token Mentor",200 OK,"Không thay đổi",Medium
268,Fundraising,GET /api/v1/funds/{id}/transactions,Lấy sao kê minh bạch của một quỹ (Thu/Chi),"id fund",200 OK,"Không thay đổi",High
269,User,PUT /api/v1/users/me/privacy,Cập nhật thiết lập quyền riêng tư (ẩn email/SĐT),"Token User, privacy_settings JSON",200 OK,"Cập nhật cột privacy_settings",Medium
270,User,GET /api/v1/users/{id},Test thiết lập quyền riêng tư: Cố xem SĐT của người đã ẩn SĐT,"id user B đã ẩn SĐT",200 OK,"Trả về data nhưng field phone bị null/mask",High
271,Admin,POST /api/v1/admin/jobs/crawl,Kích hoạt Crawl Job (Lấy tin tuyển dụng tự động từ trang khác),"Token Admin",200 OK,"Khởi động batch job ngầm",Low
272,Article,PUT /api/v1/news/{id}/publish,Xuất bản tin tức đang ở bản nháp (Draft -> Published),"id news, Token Admin",200 OK,"Cập nhật status=PUBLISHED, published_at=NOW()",Medium
273,Chat,POST /api/v1/chat/messages/{id}/recall,Thu hồi tin nhắn đã gửi (Recall/Unsend),"id message, Token chính chủ",200 OK,"Cập nhật is_recalled=true, ẩn nội dung",Medium
274,Chat,POST /api/v1/chat/messages/{id}/recall,Thu hồi thất bại do quá thời gian cho phép (VD 24h),"Tin nhắn cũ",400 Bad Request,"Không thay đổi",Low
275,Event,PUT /api/v1/events/{id}/cancel,Hủy bỏ sự kiện đã tạo (Cancel Event),"id event, Token Creator",200 OK,"Cập nhật status=CANCELLED, bắn notification cho attendees",High
276,Forum,GET /api/v1/forum/categories/{id}/stats,Lấy thống kê chuyên mục (Số bài, comment),"id category",200 OK,"Không thay đổi",Low
277,Forum,PUT /api/v1/forum/posts/{id}/pin,Ghim bài viết lên đầu (Pin Post),"id bài, Token Admin/Mod",200 OK,"Cập nhật is_pinned=true",Medium
278,Survey,GET /api/v1/surveys/{id}/questions,Lấy chi tiết cấu trúc câu hỏi của một Survey,"id survey",200 OK,"Không thay đổi",High
279,Auth,POST /api/v1/auth/resend-otp,Yêu cầu gửi lại mã OTP (Resend OTP),"email hợp lệ",200 OK,"Tạo OTP mới, invalidate OTP cũ",Medium
280,Auth,POST /api/v1/auth/resend-otp,Yêu cầu gửi lại OTP thất bại do Spam (Quá nhiều lần trong 5 phút),"Spam API",429 Too Many Requests,"Không thay đổi (Chặn bởi Bucket4j)",High
281,Admin,GET /api/v1/admin/metrics,Lấy số liệu monitoring (tích hợp Prometheus/Actuator),"Token Admin",200 OK,"Không thay đổi",Low
282,Fundraising,POST /api/v1/funds/webhook/sepay,Xử lý Webhook với số tiền cực nhỏ (VD 1 VNĐ),"amount=1",200 OK,"Ghi nhận hoặc bỏ qua tùy business logic",Low
283,Shared,POST /api/v1/feedback,Gửi phản hồi/báo lỗi hệ thống (Feedback/Bug Report),"Token User, nội dung",201 Created,"Tạo bản ghi system_feedbacks",Low
284,Admin,GET /api/v1/admin/feedbacks,Xem danh sách phản hồi từ người dùng,"Token Admin",200 OK,"Không thay đổi",Low
285,Mentorship,GET /api/v1/mentors/recommend,Gợi ý Mentor phù hợp dựa trên AI/Logic,"Token Mentee",200 OK,"Không thay đổi",Medium
286,Event,GET /api/v1/events/recommend,Gợi ý sự kiện phù hợp với ngành học/khoa,"Token User",200 OK,"Không thay đổi",Medium
287,User,GET /api/v1/users/me/points,Xem tổng điểm đóng góp (Alumni Points),"Token User",200 OK,"Không thay đổi",Medium
288,Chat,PUT /api/v1/chat/conversations/group/{id}/rename,Đổi tên nhóm chat,"id group, tên mới",200 OK,"Cập nhật tên nhóm",Low
289,Config,GET /api/v1/config/app-version,Lấy cấu hình phiên bản App Mobile tối thiểu (Force Update),"Không cần token",200 OK,"Không thay đổi",Low
290,Config,PUT /api/v1/admin/config/app-version,Cập nhật phiên bản App bắt buộc (Force Update),"Token Admin, version mới",200 OK,"Cập nhật system_configs",Low
291,Article,GET /api/v1/jobs/categories,Lấy danh sách các ngành nghề tuyển dụng,"Không cần token",200 OK,"Không thay đổi",Low
292,Article,PUT /api/v1/jobs/{id}/close,Đóng tin tuyển dụng do đã tuyển đủ người,"id job, Token Creator",200 OK,"Cập nhật status=CLOSED",Medium
293,Organization,GET /api/v1/organizations/{id}/stats,Lấy thống kê quỹ, event, bài viết của nhóm,"id org",200 OK,"Không thay đổi",Medium
294,Survey,GET /api/v1/surveys/active,Lấy danh sách nhanh các khảo sát đang nhắm tới User (Targeting),"Token User, match với user_type",200 OK,"Không thay đổi",Medium
295,Mentorship,POST /api/v1/mentorship/cv/{id}/interview,Lên lịch phỏng vấn Mentor (Admin gửi cho ứng viên),"id CV, Token Admin, thời gian",200 OK,"Cập nhật CV status=INTERVIEW_SCHEDULED",Medium
296,Mentorship,PUT /api/v1/mentorship/sessions/{id}/cancel,Hủy lịch hẹn đã chốt (Cancel Session),"id session, lý do",200 OK,"Cập nhật status=CANCELLED",High
297,Fundraising,GET /api/v1/funds/my-impact,Xem thống kê cá nhân đã thay đổi/giúp đỡ được những quỹ nào,"Token User",200 OK,"Không thay đổi",Medium
298,Event,GET /api/v1/events/{id}/qr-code,Lấy mã QR code tổng của sự kiện để in ra check-in,"id event, Token Admin",200 OK,"Trả về byte/link ảnh QR",Low
299,User,PUT /api/v1/users/me/social-links,Cập nhật link MXH (LinkedIn, Facebook) vào Profile,"Token User, list links",200 OK,"Cập nhật trường social_links JSON",Medium
300,Auth,POST /api/v1/auth/change-email,Yêu cầu đổi Email đăng nhập (Gửi mã xác nhận vào mail mới),"Email mới, Token User",200 OK,"Tạo OTP gửi vào mail mới",High
301,User,POST /api/v1/users/me/export-data,Yêu cầu xuất toàn bộ dữ liệu cá nhân (GDPR Compliance),"Token User",202 Accepted,"Kích hoạt Job tạo file nén dữ liệu, lưu url",High
302,User,GET /api/v1/users/me/export-data/status,Kiểm tra trạng thái xuất dữ liệu,"Token User",200 OK,"Không thay đổi",Medium
303,User,DELETE /api/v1/users/me/account,Yêu cầu xóa tài khoản (Deactivate/Soft Delete),"Token User, lý do",200 OK,"Cập nhật status=DEACTIVATED, giữ log",High
304,User,DELETE /api/v1/users/me/account,Yêu cầu xóa tài khoản thất bại do có phiên mentorship đang mở,"Có session PENDING",409 Conflict,"Không thay đổi",High
305,User,POST /api/v1/users/me/reactivate,Khôi phục tài khoản trong vòng 30 ngày kể từ khi xóa,"email, password",200 OK,"Cập nhật status=ACTIVE",Medium
306,User,POST /api/v1/users/me/reactivate,Khôi phục tài khoản thất bại do quá hạn 30 ngày (Đã hard delete),"Tài khoản không tồn tại",404 Not Found,"Không thay đổi",High
307,Admin,GET /api/v1/admin/analytics/users/growth,Thống kê tăng trưởng người dùng theo ngày/tháng,"start_date, end_date",200 OK,"Không thay đổi",Medium
308,Admin,GET /api/v1/admin/analytics/funds/summary,Thống kê tổng tiền quyên góp toàn hệ thống,"Token Admin",200 OK,"Không thay đổi",High
309,Admin,GET /api/v1/admin/analytics/export,Xuất báo cáo thống kê ra định dạng CSV/PDF,"format=PDF",200 OK,"Trả về file stream",Medium
310,Admin,GET /api/v1/admin/analytics/export,Xuất báo cáo thất bại do khoảng thời gian quá lớn (>1 năm),"start_date và end_date xa nhau",400 Bad Request,"Không thay đổi",Low
311,Admin,POST /api/v1/admin/moderation/auto-ban/rules,Cập nhật quy tắc Auto-Ban (VD: 5 reports = auto ban),"Token Admin, thresholds JSON",200 OK,"Cập nhật config",High
312,Admin,POST /api/v1/admin/moderation/image-scan,Webhook quét ảnh bằng AI (Nude/Violent detect),"URL ảnh",200 OK,"Gắn cờ (flag) ảnh vi phạm",High
313,Forum,POST /api/v1/forum/posts,Đăng bài thất bại do AI phát hiện ảnh nhạy cảm,"Ảnh có nội dung cấm",400 Bad Request,"Không lưu bài, tạo log vi phạm",High
314,User,PUT /api/v1/users/me/theme,Cập nhật giao diện ưa thích (Dark/Light Mode),"theme=DARK",200 OK,"Cập nhật user_preferences",Low
315,User,PUT /api/v1/users/me/locale,Cập nhật ngôn ngữ hiển thị (vi/en),"locale=en",200 OK,"Cập nhật user_preferences",Low
316,Chat,POST /api/v1/chat/ws/typing,Broadcast tín hiệu đang gõ phím qua WebSocket,"WS message TYPE_TYPING",200 OK (WS Broadcast),"Phát tín hiệu cho người nhận",Medium
317,Chat,POST /api/v1/chat/ws/typing,Broadcast typing thất bại do không cùng hội thoại,"Giả mạo roomId",403 Forbidden,"Ngắt kết nối WS",High
318,Chat,POST /api/v1/chat/ws/read-receipt,Broadcast tín hiệu đã đọc tin nhắn qua WebSocket,"WS message TYPE_READ",200 OK (WS Broadcast),"Cập nhật trạng thái tin nhắn realtime",Medium
319,Chat,POST /api/v1/chat/ws/connect,Kết nối WebSocket chat với Token hết hạn,"WS Connect, JWT hết hạn",401 Unauthorized,"Đóng kết nối ngay lập tức",High
320,Fundraising,POST /api/v1/funds/webhook/sepay,Xử lý giao dịch quyên góp khi quỹ vừa chạm mốc đóng,"Fund đang = Target, gửi thêm tiền",200 OK,"Tiếp nhận tiền nhưng đánh dấu quỹ trạng thái OVERFUNDED",Medium
321,Fundraising,GET /api/v1/funds/tags/{tag},Tìm kiếm quỹ từ thiện theo Tag (VD: Bão lũ, Khuyến học),"tag=BaoLu",200 OK,"Không thay đổi",Low
322,Mentorship,POST /api/v1/mentorship/sessions/{id}/dispute,Mở tranh chấp (Dispute) do Mentor không xuất hiện,"id session, lý do tranh chấp",201 Created,"Tạo bản ghi mentorship_disputes",High
323,Mentorship,PUT /api/v1/admin/mentorship-disputes/{id}/resolve,Admin xử lý tranh chấp Mentorship,"id dispute, phán quyết",200 OK,"Cập nhật status dispute, refund nếu cần",High
324,Mentorship,GET /api/v1/admin/mentorship-disputes,Lấy danh sách các tranh chấp cần giải quyết,"Token Admin",200 OK,"Không thay đổi",Medium
325,Shared,POST /api/v1/devices/register,Đăng ký Device Token để nhận Push Notification (FCM/APNS),"device_token, os=ANDROID",200 OK,"Tạo/Cập nhật bản ghi user_devices",High
326,Shared,DELETE /api/v1/devices/unregister,Hủy đăng ký Device Token khi user đăng xuất,"device_token",200 OK,"Xóa device_token khỏi DB",Medium
327,Shared,POST /api/v1/devices/register,Đăng ký Device Token thất bại do token rỗng,"device_token = null",400 Bad Request,"Không thay đổi",Low
328,Auth,POST /api/v1/auth/password/strength,API kiểm tra độ mạnh của mật khẩu (Password Strength Meter),"password string",200 OK,"Không thay đổi DB, trả về điểm số 1-100",Low
329,User,GET /api/v1/users/me/sessions,Xem danh sách các thiết bị/phiên đang đăng nhập,"Token User",200 OK,"Không thay đổi",High
330,User,DELETE /api/v1/users/me/sessions/{id},Đăng xuất từ xa thiết bị khác (Revoke Session),"session_id",200 OK,"Blacklist Refresh Token của phiên đó",High
331,Admin,POST /api/v1/admin/db/backup,Thực hiện sao lưu Database thủ công (Trigger Backup),"Token Super Admin",202 Accepted,"Khởi chạy script pg_dump ngầm",Medium
332,Admin,POST /api/v1/admin/db/backup,Backup DB thất bại do quyền hạn (Chỉ SuperAdmin),"Token Admin thường",403 Forbidden,"Không thay đổi",High
333,Config,GET /api/v1/config/maintenance,Kiểm tra trạng thái bảo trì hệ thống,"Không cần token",200 OK,"Trả về is_maintenance = true/false",High
334,Config,PUT /api/v1/admin/config/maintenance,Bật chế độ bảo trì toàn hệ thống,"Token Admin, is_maintenance=true",200 OK,"Chỉ cho phép Admin truy cập hệ thống",High
335,User,GET /api/v1/users/me,Truy cập profile khi hệ thống đang bảo trì (User thường),"Token User",503 Service Unavailable,"Trả về lỗi bảo trì",High
336,Admin,GET /api/v1/users/me,Truy cập profile khi hệ thống đang bảo trì (Admin),"Token Admin",200 OK,"Vượt rào bảo trì thành công",High
337,Survey,POST /api/v1/surveys/{id}/remind,Gửi thông báo nhắc nhở (Remind) làm khảo sát,"id survey, Token Admin",200 OK,"Gửi email/push noti cho những ai chưa làm",Medium
338,Article,POST /api/v1/news/{id}/views,Tăng lượt xem (View Count) của bài viết an toàn (Debounce),"id news",200 OK,"Tăng view_count nếu IP/User chưa xem trong 5 phút",Low
339,Article,POST /api/v1/news/{id}/views,Không tăng view nếu F5 liên tục (Rate Limit Spam View),"Gọi liên tục 10 lần",200 OK,"View chỉ tăng 1 lần",High
340,Event,POST /api/v1/events/{id}/invite,Mời bạn bè tham gia sự kiện,"id event, list email",200 OK,"Tạo record event_invitations và gửi mail",Medium
341,Event,GET /api/v1/events/invitations/my,Xem danh sách các sự kiện được mời tham gia,"Token User",200 OK,"Không thay đổi",Medium
342,Event,PUT /api/v1/events/invitations/{id}/accept,Chấp nhận lời mời tham gia sự kiện,"id invitation",200 OK,"Cập nhật invitation=ACCEPTED, tự tự động tham gia event",High
343,Forum,GET /api/v1/forum/posts/search,Tìm kiếm bài viết diễn đàn (Full-text search),"keyword=""AI trong y tế""",200 OK,"Không thay đổi",High
344,Forum,GET /api/v1/forum/posts/search,Tìm kiếm bài viết có lọc theo tag,"tags=""#AI, #Tech""",200 OK,"Không thay đổi",Medium
